"","id","ic50_np","mse_np","auc_np","ic50_mf","mse_mf","auc_mf","ic50_sf","mse_sf","auc_sf","ic50_npb","mse_npb","auc_npb"
"95","afatinib_P3_T2_5",12.2231255941588,200.665090826288,2125.49314789688,13.8853306443063,215.222130710398,2114.38662587714,15.7693324645758,215.520516119294,2116.03331972869,0.401686356327139,13307.3698457632,1970.06959006596
"96","afatinib_P3_T3_1",1.34969387856026,21.6885981200021,1685.90033118724,1.51036717480284,25.6343869574405,1684.93049684112,20.8714172021949,29.5021462690085,1674.13864258938,0.29852784157059,8368.77537124235,1590.6456848782
"97","afatinib_P3_T3_2",10.2380398894284,83.4358907406179,1740.14237843857,10.2380398894284,89.8380044502502,1737.00168461398,33.913424382057,94.5691732359755,1730.56682068809,1.52382794397961,10505.5562010961,1695.75381677263
"98","afatinib_P3_T3_3",8.26522479180648,43.5630762850031,1862.18008569926,8.91151577780448,48.2847428784947,1855.18762386225,11.753451426718,57.1579839153116,1869.3216720213,0.717374204357707,10649.7000517098,1857.83352727431
"99","afatinib_P3_T3_4",13.8729051866242,33.769434473925,2088.27511530937,15.9202107348757,45.0720889717857,2079.94715244412,47.9225241624503,45.9812421959787,2088.93671302257,0.387578512073704,11957.0141706292,2036.75051721019
"100","afatinib_P3_T3_5",0.98003429735196,62.4453953419502,1521.87418526422,1.12083336541552,66.4987853890295,1519.50731810803,2.18590493663241,86.3789578901868,1516.20174900765,0.333113748823631,9552.1408383789,1490.1072049512
"101","afatinib_P3_T4_1",8.00785666402239,20.6373209046967,961.869416154835,8.00785666402239,32.5799838586872,958.504990834092,71.6405874970229,53.9877608419875,968.854850999101,7.45337204710209,7762.86297552976,980.242692303449
"102","afatinib_P3_T4_2",3.18371501980895,62.9443243504692,975.188993500801,3.59197513489978,78.3014099882383,973.080958166814,153.581948208796,108.320386363719,971.187815966224,0.845366450983771,7817.28241085242,978.666532485449
"103","afatinib_P3_T4_3",7.3307647025433,25.5684196970458,962.343656612577,7.6811366324926,36.8769805085514,958.974395055719,75.7554572921035,56.5934498447992,968.86570264714,7.43402891421071,7989.39578494996,956.634801728439
"104","afatinib_P3_T4_4",1.56176814949206,18.3679046568007,1048.38973584138,1.77639398258838,22.2917445195572,1047.08929911994,39.1554380636981,33.9194592668709,1045.0757820162,0.762538744243738,6871.63180973887,1052.10887531702
