"","id","ic50_np","mse_np","auc_np","ic50_mf","mse_mf","auc_mf","ic50_sf","mse_sf","auc_sf","ic50_npb","mse_npb","auc_npb","lambda"
"50","5FU_P3_T4_2",1.29653848862928,88.9474506870662,1429.11514382821,1.27468857995607,99.1056260731795,1421.4275805544,2.57054325742085,115.160422314453,1421.52688284293,2.7049871074197,135.316888407643,1393.2880179836,5
"51","5FU_P3_T4_3",2.81228620408046,45.8527616226526,1220.41106059583,2.94156911240099,49.8974051748742,1219.54053411327,61.9345599477867,59.2840554097511,1205.64090654996,3.93501256888477,76.0610998802097,1215.57428169447,5
"52","5FU_P3_T4_4",6.65354998105082,44.2976318980841,1571.01555164399,6.12970055852531,53.7021289633513,1563.65482856839,67.0507312587916,65.6451889829891,1567.12057751495,2.58700739451773,70.7482326804887,1599.83873482773,2
"53","afatinib_P1_T1_1",5.00307280988288,77.3743520876582,1269.3341254253,5.52280076228575,99.6941430623184,1265.38633261031,6.20827777146626,113.015032176247,1249.96624119539,5.67671530998272,121.363339736186,1293.17024660329,5
"54","afatinib_P1_T1_2",2.82248720767293,164.472996207308,1569.80685624446,3.49499210689354,177.051288707694,1564.88289112199,7.4824089733593,186.501637212041,1558.29048436167,3.42626933016967,194.240251071089,1521.76398964402,5
"55","afatinib_P1_T1_3",3.12343976602643,14.6991391124851,709.421104915978,3.08122368356671,15.5976057903793,708.531885367301,102.283778202841,33.4590647373138,701.705267200717,4.04572786497038,63.2171949938241,708.004992635399,5
"56","afatinib_P1_T1_4",2.85435347982561,53.5371270097104,1257.01237910055,2.64198380581194,65.7299902783618,1251.95778497871,15.0836224849674,87.9227318728417,1249.41398601336,2.81874131885519,123.682963094368,1206.73955642216,5
"57","afatinib_P1_T2_1",0.171460094850173,7.84201416756682,262.350052393539,0.173027830123931,8.09739124280864,262.134197970977,0.010826709324923,31.274618031676,288.503163485429,2.2131656077293,261.856875167192,320.423217416817,5
"58","afatinib_P1_T2_2",0.609291678634131,227.331684249079,562.230108881539,0.622159987296586,231.083221115281,561.861651320559,0.641294493695854,275.061511141916,595.775246121741,2.92982492807498,493.859694909615,631.307998294224,5
"59","afatinib_P1_T2_3",0.741334925106498,18.4232228389208,565.806715781476,0.724322532479194,20.0173628192674,564.962928698761,10.7023780433553,48.0030506711951,576.753766593226,2.62754554299819,159.600989010552,555.972843732854,5
"60","afatinib_P1_T2_4",2.53594837208243,33.3190928487947,664.758513883487,3.52169451431766,49.7525030882208,664.158212332441,6.93638032807865,62.5261827927384,659.750195993952,3.85403585569731,101.922312209276,694.382143262389,5
"61","afatinib_P1_T2_5",8.16936070806981,30.1175476449238,1260.86847209624,8.83417559173033,40.1937456002462,1258.13410564931,104.121093631113,52.1191347055882,1259.3364523099,8.16144562183433,53.604388501028,1257.53953905342,5
"62","afatinib_P1_T3_1",0.363712988867819,51.2860098998469,308.243893697725,0.363712988867819,56.1212683320137,308.015532638844,0.365214083259411,76.426153360814,328.314712375787,2.43047964780139,416.684607771543,395.424731351065,5
"63","afatinib_P1_T3_2",0.127561279020574,10.3411679490747,59.0260648017244,0.127561279020574,11.4389747364635,59.009634059525,0.132592184011694,19.9702669590691,86.6453825082432,0.381602822579651,444.36713445176,162.643158726435,0.1
"64","afatinib_P1_T3_3",1.12474439683204,73.1903586736141,410.81080679352,1.42386491802076,79.1732319134238,410.706374758595,2.02809022397584,104.92856867621,415.172516443355,3.05514517333361,240.069823716917,515.788618681108,5
"65","afatinib_P1_T3_5",0.957700843775102,80.8973036499314,232.7534834138,1.07048172577956,88.2579508227967,232.589562880658,1.13283383064429,95.0032025457212,240.283006485376,2.64346321845929,356.766951518039,419.318086958485,5
